simple_id,param_id,smirks,equilibrium_value
a78,specificity=3 index=45 count=23,[!#1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#7X2;!r3;!r4;!r5;!r6;!r7;!r8:2]~[!#1;r7:3],N/A
a79,specificity=3 index=46 count=23,[!#1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#7X2;!r3;!r4;!r5;!r6;!r7;!r8:2]~[!#1;r6:3],N/A
a80,specificity=3 index=47 count=22,[!#1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#15X3;!r3;!r4;!r5;!r6;!r7;!r8:2]~[!#1;r6:3],N/A
a81,specificity=3 index=48 count=21,[!#1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X4;r6:2]~[#1;!r3;!r4;!r5;!r6;!r7;!r8:3],N/A
a82,specificity=3 index=49 count=21,[!#1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X4;r5:2]~[!#1;r6:3],N/A
a83,specificity=3 index=50 count=20,[!#1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X4;r6:2]~[!#1;r6:3],N/A
a84,specificity=3 index=51 count=20,[!#1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#15X4;r5:2]~[!#1;!r3;!r4;!r5;!r6;!r7;!r8:3],N/A
a85,specificity=3 index=52 count=19,[!#1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X3;!r3;!r4;!r5;!r6;!r7;!r8:2]~[#1;!r3;!r4;!r5;!r6;!r7;!r8:3],N/A
a86,specificity=3 index=53 count=19,[!#1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X4;r5:2]~[!#1;r5:3],N/A
a87,specificity=3 index=54 count=19,[!#1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#8X2;!r3;!r4;!r5;!r6;!r7;!r8:2]~[#1;!r3;!r4;!r5;!r6;!r7;!r8:3],N/A
a88,specificity=3 index=55 count=19,[!#1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#15X4;r6:2]~[!#1;!r3;!r4;!r5;!r6;!r7;!r8:3],N/A
a89,specificity=3 index=56 count=18,[!#1;r4:1]~[#6X3;!r3;!r4;!r5;!r6;!r7;!r8:2]~[!#1;r6:3],N/A
a90,specificity=3 index=57 count=18,[!#1;r6:1]~[#6X4;!r3;!r4;!r5;!r6;!r7;!r8:2]~[!#1;r6:3],N/A
a91,specificity=3 index=58 count=17,[!#1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#16X4;!r3;!r4;!r5;!r6;!r7;!r8:2]~[!#1;r3:3],N/A
a92,specificity=3 index=59 count=16,[!#1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#7X4;!r3;!r4;!r5;!r6;!r7;!r8:2]~[!#1;!r3;!r4;!r5;!r6;!r7;!r8:3],N/A
a93,specificity=3 index=60 count=16,[!#1;r5:1]~[#7X4;!r3;!r4;!r5;!r6;!r7;!r8:2]~[#1;!r3;!r4;!r5;!r6;!r7;!r8:3],N/A
a94,specificity=3 index=61 count=16,[!#1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#7X3;!r3;!r4;!r5;!r6;!r7;!r8:2]~[!#1;r4:3],N/A
a95,specificity=3 index=62 count=16,[!#1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#7X3;!r3;!r4;!r5;!r6;!r7;!r8:2]~[!#1;r7:3],N/A
a96,specificity=3 index=63 count=15,[!#1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X4;r3:2]~[#1;!r3;!r4;!r5;!r6;!r7;!r8:3],N/A
a97,specificity=3 index=64 count=15,[!#1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#7X4;!r3;!r4;!r5;!r6;!r7;!r8:2]~[#1;!r3;!r4;!r5;!r6;!r7;!r8:3],N/A
a98,specificity=3 index=65 count=15,[!#1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#16X3;!r3;!r4;!r5;!r6;!r7;!r8:2]~[!#1;r6:3],N/A
a99,specificity=3 index=66 count=15,[!#1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X4;r7:2]~[!#1;!r3;!r4;!r5;!r6;!r7;!r8:3],N/A
