simple_id,param_id,smirks,equilibrium_value
b203,specificity=2 index=65 count=601,[#6X3;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X4;r5:2],N/A
b204,specificity=2 index=66 count=568,[#16X2;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X3;r5:2],N/A
b205,specificity=2 index=67 count=561,[#6X4;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X4;r3:2],N/A
b206,specificity=2 index=68 count=519,[#6X3;r5:1]~[#8X2;!r3;!r4;!r5;!r6;!r7;!r8:2],N/A
b207,specificity=2 index=69 count=515,[#6X3;r6:1]~[#6X4;r5:2],N/A
b208,specificity=2 index=70 count=495,[#15X4;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#8X1;!r3;!r4;!r5;!r6;!r7;!r8:2],N/A
b209,specificity=2 index=71 count=483,[#6X3;r5:1]~[#7X2;!r3;!r4;!r5;!r6;!r7;!r8:2],N/A
b210,specificity=2 index=72 count=481,[#1X1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#7X2;!r3;!r4;!r5;!r6;!r7;!r8:2],N/A
b211,specificity=2 index=73 count=480,[#6X4;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#7X4;!r3;!r4;!r5;!r6;!r7;!r8:2],N/A
b212,specificity=2 index=74 count=462,[#7X2;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#7X3;!r3;!r4;!r5;!r6;!r7;!r8:2],N/A
b213,specificity=2 index=75 count=419,[#17X1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X3;r5:2],N/A
b214,specificity=2 index=76 count=394,[#16X1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X3;!r3;!r4;!r5;!r6;!r7;!r8:2],N/A
b215,specificity=2 index=77 count=373,[#1X1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#7X4;!r3;!r4;!r5;!r6;!r7;!r8:2],N/A
b216,specificity=2 index=78 count=363,[#16X2;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#1X1;!r3;!r4;!r5;!r6;!r7;!r8:2],N/A
b217,specificity=2 index=79 count=354,[#16X4;r6:1]~[#8X1;!r3;!r4;!r5;!r6;!r7;!r8:2],N/A
b218,specificity=2 index=80 count=353,[#7X3;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#8X2;!r3;!r4;!r5;!r6;!r7;!r8:2],N/A
b219,specificity=2 index=81 count=352,[#6X2;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X3;!r3;!r4;!r5;!r6;!r7;!r8:2],N/A
b220,specificity=2 index=82 count=350,[#6X4;r5:1]~[#7X3;!r3;!r4;!r5;!r6;!r7;!r8:2],N/A
b221,specificity=2 index=83 count=345,[#6X4;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#7X2;!r3;!r4;!r5;!r6;!r7;!r8:2],N/A
b222,specificity=2 index=84 count=331,[#16X4;r5:1]~[#8X1;!r3;!r4;!r5;!r6;!r7;!r8:2],N/A
b223,specificity=2 index=85 count=328,[#16X2;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X3;!r3;!r4;!r5;!r6;!r7;!r8:2],N/A
b224,specificity=2 index=86 count=320,[#7X3;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#7X3;!r3;!r4;!r5;!r6;!r7;!r8:2],N/A
b225,specificity=2 index=87 count=303,[#6X3;r7:1]~[#8X1;!r3;!r4;!r5;!r6;!r7;!r8:2],N/A
b226,specificity=2 index=88 count=301,[#1X1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X3;r7:2],N/A
b227,specificity=2 index=89 count=295,[#16X1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X3;r5:2],N/A
b228,specificity=2 index=90 count=294,[#6X2;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X3;r5:2],N/A
b229,specificity=2 index=91 count=292,[#53X1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X3;r6:2],N/A
b230,specificity=2 index=92 count=279,[#7X2;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#8X2;!r3;!r4;!r5;!r6;!r7;!r8:2],N/A
b231,specificity=2 index=93 count=279,[#1X1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X4;r8:2],N/A
b232,specificity=2 index=94 count=267,[#1X1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#7X3;r7:2],N/A
b233,specificity=2 index=95 count=265,[#16X4;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#8X2;!r3;!r4;!r5;!r6;!r7;!r8:2],N/A
b234,specificity=2 index=96 count=261,[#7X2;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#7X2;!r3;!r4;!r5;!r6;!r7;!r8:2],N/A
b235,specificity=2 index=97 count=255,[#6X3;r5:1]~[#6X4;r6:2],N/A
b236,specificity=2 index=98 count=254,[#16X4;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X3;r5:2],N/A
b237,specificity=2 index=99 count=251,[#15X4;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X4;!r3;!r4;!r5;!r6;!r7;!r8:2],N/A
b238,specificity=2 index=100 count=243,[#35X1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X3;r5:2],N/A
b239,specificity=2 index=101 count=239,[#35X1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X4;!r3;!r4;!r5;!r6;!r7;!r8:2],N/A
b240,specificity=2 index=102 count=237,[#1X1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X2;!r3;!r4;!r5;!r6;!r7;!r8:2],N/A
b241,specificity=2 index=103 count=232,[#6X4;r6:1]~[#9X1;!r3;!r4;!r5;!r6;!r7;!r8:2],N/A
b242,specificity=2 index=104 count=229,[#6X3;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X4;r3:2],N/A
b243,specificity=2 index=105 count=226,[#16X1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X3;r6:2],N/A
b244,specificity=2 index=106 count=218,[#6X4;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X4;r4:2],N/A
b245,specificity=2 index=107 count=212,[#16X3;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X4;!r3;!r4;!r5;!r6;!r7;!r8:2],N/A
b246,specificity=2 index=108 count=210,[#16X3;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#8X1;!r3;!r4;!r5;!r6;!r7;!r8:2],N/A
b247,specificity=2 index=109 count=209,[#17X1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X3;!r3;!r4;!r5;!r6;!r7;!r8:2],N/A
b248,specificity=2 index=110 count=206,[#7X2;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#8X1;!r3;!r4;!r5;!r6;!r7;!r8:2],N/A
b249,specificity=2 index=111 count=190,[#6X3;r6:1]~[#6X4;r3:2],N/A
b250,specificity=2 index=112 count=180,[#6X3;r5:1]~[#6X4;r5:2],N/A
b251,specificity=2 index=113 count=173,[#17X1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X4;r5:2],N/A
b252,specificity=2 index=114 count=171,[#6X3;r5:1]~[#7X3;r5:2],N/A
b253,specificity=2 index=115 count=159,[#6X4;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X4;r7:2],N/A
b254,specificity=2 index=116 count=151,[#7X3;r6:1]~[#8X1;!r3;!r4;!r5;!r6;!r7;!r8:2],N/A
b255,specificity=2 index=117 count=146,[#6X2;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X4;r6:2],N/A
b256,specificity=2 index=118 count=146,[#6X4;r6:1]~[#7X3;r5:2],N/A
